name,circulating_supply,max_supply,symbol,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,percentage_change_1h,percentage_change_24h,percentage_change_7d,price,volume_24h
Darwinia Crab Network,0,0,CRING,0,0.0,0.0,-12.1706032773059,0.0,0.0,-12.1706032773059,0.00263692,0
Datamine,4332649,16876778,DAM,438479,0.829925079782487,-0.427362674055798,-8.61137662818739,0.829925079782487,-0.427362674055798,-8.61137662818739,0.101534,9086
DTOP Token,0,12000000000,DTOP,0,-25.1045767177515,-13.6028190586352,28.9609579776295,-25.1045767177515,-13.6028190586352,28.9609579776295,0.01808828,4984
Davecoin,0,116238001,DDTG,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01080209,60
Dawn Protocol,70522813,76588157,DAWN,166855338,-3.92503655414405,-3.25219253305108,-26.7690385748046,-3.92503655414405,-3.25219253305108,-26.7690385748046,2.37,357419
DEA,102881,166670,DEA,11592061,2.68381698391264,-3.05053963001217,2.79565857263088,2.68381698391264,-3.05053963001217,2.79565857263088,113.45,41814
DEAPCOIN,3818295285,30000000000,DEP,157038538,-0.113497869529785,-5.1108682830638,-33.130033798059,-0.113497869529785,-5.1108682830638,-33.130033798059,0.04098207,14023707
Debase,3639381,32165906,DEBASE,567595,0.0,0.208041547671498,10.0480449657767,0.0,0.208041547671498,10.0480449657767,0.155959,103
Decentr,73768580,1000000000,DEC,7113951,3.60270064995599,-4.05926459254462,59.5973832144402,3.60270064995599,-4.05926459254462,59.5973832144402,0.096121,383627
Decentrahub Coin,202377,552377,DCNTR,118093,1.31053344172021,-5.0790108963904,16.9454235976252,1.31053344172021,-5.0790108963904,16.9454235976252,0.588292,25
Decentral Games,377538,1000000,DG,173398512,-2.34433567840427,-13.5393469473058,-23.0182252682394,-2.34433567840427,-13.5393469473058,-23.0182252682394,457.32,2704347
Decore,0,10000,DCORE,0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,3
deCraft Finance,0,5000,CRAFT,0,0.0,0.0,0.0,0.0,0.0,0.0,30.98,19
Decurian,0,50000000,ECU,0,0.0,0.845827579695055,16.7592882998046,0.0,0.845827579695055,16.7592882998046,1026.14,8209
DefHold,7679,12000,DEFO,365739,2.09138851371309,8.34671051263403,37.3113233316969,2.09138851371309,8.34671051263403,37.3113233316969,48.89,42100
DeFiat,463237,472156,DFT,204808,0.0,-6.70637876206632,0.0,0.0,-6.70637876206632,0.0,0.442123,9029
DeFiato,0,100000000,DFO,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00225172,2
DeFi Bids,0,0,BID,0,0.0,-3.77355435027995,14.075885312764,0.0,-3.77355435027995,14.075885312764,0.01591235,442
DefiBox,0,5000000,BOX,0,0.348325733258589,-3.64789840717351,-8.92550811823514,0.348325733258589,-3.64789840717351,-8.92550811823514,8.79,7910417
DeFiChain,0,1200000000,DFI,0,1.44559188522177,1.99079137869819,21.4625282144042,1.44559188522177,1.99079137869819,21.4625282144042,2.35,2489580
DefiCliq,32533643,990000000,CLIQ,623777,1.83273371303722,3.24130170518763,26.5913103964733,1.83273371303722,3.24130170518763,26.5913103964733,0.0190572,51852
DefiDollar,26390619,26390619,DUSD,27114568,0.0,3.59574863898153,3.21104397019256,0.0,3.59574863898153,3.21104397019256,1.03,834295
DefiDollar DAO,21867782,100000000,DFD,3198163,3.22951585960248,8.19541259627541,0.515190249396191,3.22951585960248,8.19541259627541,0.515190249396191,0.146021,391721
DeFi Firefly,0,0,DFF,0,0.0,0.0,0.0,0.0,0.0,0.0,0.333151,0
DeFi Gold,0,27000,DFGL,0,-9.32506632838019,-26.3465054593494,-34.3327701735208,-9.32506632838019,-26.3465054593494,-34.3327701735208,0.198854,111
DefiKing,0,1000000000,DFK,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01832312,185
DeFi Nation Signals DAO,0,0,DSD,0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,104
DeFiner,32106189,168000000,FIN,7076816,0.846981337329083,-1.2639775463025,-39.4478394367031,0.846981337329083,-1.2639775463025,-39.4478394367031,0.221285,321771
Definitex,118475,350000,DFX,96528,0.0,0.0,0.0,0.0,0.0,0.0,0.81475,2957
DeFinition Network,0,2360000,DZI,0,0.0,0.0,8.72320942352487,0.0,0.0,8.72320942352487,0.087436,10
DeFi Omega,107692,1000000,DFIO,688553,-0.632438423313467,-6.64825223218986,11.3721592022157,-0.632438423313467,-6.64825223218986,11.3721592022157,6.39,912
DeFiPie,35583972,220000000,PIE,224467,8.73036502241393,10.162576484739,41.3899200002607,8.73036502241393,10.162576484739,41.3899200002607,0.00669347,291247
DeFiPulse Index,548068,548068,DPI,153933994,-0.871572571878864,3.65101684457722,-16.6979575928665,-0.871572571878864,3.65101684457722,-16.6979575928665,279.33,2462528
Defis,0,282600000,XGM,0,-5.33038535125971,42.9633009871007,2.16097555039975,-5.33038535125971,42.9633009871007,2.16097555039975,0.0004788,2227
Defi Shopping Stake,0,22300119,DSS,0,0.731028391086466,3.37605703302826,3.37042921774991,0.731028391086466,3.37605703302826,3.37042921774991,0.00800851,18418
Defis Network,0,10000000,DFS,0,0.289795313411985,-3.63805347537959,-4.94588044601888,0.289795313411985,-3.63805347537959,-4.94588044601888,3.02,2927
DeFi Yield Protocol,10275595,24963431,DYP,2802140,0.951290599763756,0.273727516547598,4.92434939158653,0.951290599763756,0.273727516547598,4.92434939158653,0.273263,382846
DeflaCash,0,0,DFC,0,0.0,-3.79905149739242,-5.66721279347227,0.0,-3.79905149739242,-5.66721279347227,0.00066272,43
Deflect,449315,459323,DEFLCT,1266618,0.0,-5.83281874961909,22.0328028119587,0.0,-5.83281874961909,22.0328028119587,2.82,8101
Sports Betting Marketplace,0,100000000,SBX,0,0.0,0.0,0.0,0.0,0.0,0.0,9.513e-05,19
Meme,26239,28000,MEME,12582202,2.77133409875757,0.786071891200867,6.39012233867422,2.77133409875757,0.786071891200867,6.39012233867422,477.95,1369506
DegenVC,1000000,1000000,DGVC,650080,4.27228308300573,-1.53531356244502,15.6507261527401,4.27228308300573,-1.53531356244502,15.6507261527401,0.668564,61114
Dego Finance,5422187,9844175,DEGO,53843943,0.0132275103482004,2.82693119719911,111.950997454808,0.0132275103482004,2.82693119719911,111.950997454808,9.94,88923750
Degov,24997,25000,DEGOV,441125,0.0,0.0,0.0,0.0,0.0,0.0,17.65,409
Deipool,0,100000000,DIP,0,1.64891514613722,-1.06296093896274,0.851812507781163,1.64891514613722,-1.06296093896274,0.851812507781163,0.052312,28591
Dejave,0,0,DJV,0,0.0,-4.02400842443455,-29.7053320577242,0.0,-4.02400842443455,-29.7053320577242,243.64,97
DeFi of Thrones,4912293,6000000,DOTX,599528,9.67778680054532,6.74803015923745,32.977639992495,9.67778680054532,6.74803015923745,32.977639992495,0.129905,462939
DeltaHub Community,7796164,10000000,DHC,3746045,0.0,-3.69383392031525,27.8270722064185,0.0,-3.69383392031525,27.8270722064185,0.480499,3765
DEONEX Token,0,1000000000,DON,0,5.41801873289711,6.42716536976195,-0.195883543117819,5.41801873289711,6.42716536976195,-0.195883543117819,0.539377,1848
DePay,251283,62000000,DEPAY,281436,2.01078841566931,0.413353519883592,25.3020224741787,2.01078841566931,0.413353519883592,25.3020224741787,1.14,42054
